id,category,subcategory,filename,rel_path,alt_bm
"p27-01","Saliran","Saliran & Pembetungan","p27-01.png","assets/portfolio/drainage/p27-01.png","Dokumentasi projek Saliran & Pembetungan (p27-01)"
"p27-02","Saliran","Saliran & Pembetungan","p27-02.png","assets/portfolio/drainage/p27-02.png","Dokumentasi projek Saliran & Pembetungan (p27-02)"
"p27-03","Saliran","Saliran & Pembetungan","p27-03.png","assets/portfolio/drainage/p27-03.png","Dokumentasi projek Saliran & Pembetungan (p27-03)"
"p27-04","Saliran","Saliran & Pembetungan","p27-04.png","assets/portfolio/drainage/p27-04.png","Dokumentasi projek Saliran & Pembetungan (p27-04)"
"p27-05","Saliran","Saliran & Pembetungan","p27-05.png","assets/portfolio/drainage/p27-05.png","Dokumentasi projek Saliran & Pembetungan (p27-05)"
"p27-06","Saliran","Saliran & Pembetungan","p27-06.png","assets/portfolio/drainage/p27-06.png","Dokumentasi projek Saliran & Pembetungan (p27-06)"
"p27-07","Saliran","Saliran & Pembetungan","p27-07.png","assets/portfolio/drainage/p27-07.png","Dokumentasi projek Saliran & Pembetungan (p27-07)"
"p27-08","Saliran","Saliran & Pembetungan","p27-08.png","assets/portfolio/drainage/p27-08.png","Dokumentasi projek Saliran & Pembetungan (p27-08)"
"p27-09","Saliran","Saliran & Pembetungan","p27-09.png","assets/portfolio/drainage/p27-09.png","Dokumentasi projek Saliran & Pembetungan (p27-09)"
"p27-10","Saliran","Saliran & Pembetungan","p27-10.png","assets/portfolio/drainage/p27-10.png","Dokumentasi projek Saliran & Pembetungan (p27-10)"
"p27-11","Saliran","Saliran & Pembetungan","p27-11.png","assets/portfolio/drainage/p27-11.png","Dokumentasi projek Saliran & Pembetungan (p27-11)"
"p27-12","Saliran","Saliran & Pembetungan","p27-12.png","assets/portfolio/drainage/p27-12.png","Dokumentasi projek Saliran & Pembetungan (p27-12)"
"p27-13","Saliran","Saliran & Pembetungan","p27-13.png","assets/portfolio/drainage/p27-13.png","Dokumentasi projek Saliran & Pembetungan (p27-13)"
"p27-14","Saliran","Saliran & Pembetungan","p27-14.png","assets/portfolio/drainage/p27-14.png","Dokumentasi projek Saliran & Pembetungan (p27-14)"
"p27-15","Saliran","Saliran & Pembetungan","p27-15.png","assets/portfolio/drainage/p27-15.png","Dokumentasi projek Saliran & Pembetungan (p27-15)"
"p27-16","Saliran","Saliran & Pembetungan","p27-16.png","assets/portfolio/drainage/p27-16.png","Dokumentasi projek Saliran & Pembetungan (p27-16)"
"p27-17","Saliran","Saliran & Pembetungan","p27-17.png","assets/portfolio/drainage/p27-17.png","Dokumentasi projek Saliran & Pembetungan (p27-17)"
"p27-18","Saliran","Saliran & Pembetungan","p27-18.png","assets/portfolio/drainage/p27-18.png","Dokumentasi projek Saliran & Pembetungan (p27-18)"
"p28-01","Rumah","Pembinaan & Ubah Suai","p28-01.png","assets/portfolio/housing/p28-01.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-01)"
"p28-02","Rumah","Pembinaan & Ubah Suai","p28-02.png","assets/portfolio/housing/p28-02.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-02)"
"p28-03","Rumah","Pembinaan & Ubah Suai","p28-03.png","assets/portfolio/housing/p28-03.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-03)"
"p28-04","Rumah","Pembinaan & Ubah Suai","p28-04.png","assets/portfolio/housing/p28-04.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-04)"
"p28-05","Rumah","Pembinaan & Ubah Suai","p28-05.png","assets/portfolio/housing/p28-05.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-05)"
"p28-06","Rumah","Pembinaan & Ubah Suai","p28-06.png","assets/portfolio/housing/p28-06.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-06)"
"p28-07","Rumah","Pembinaan & Ubah Suai","p28-07.png","assets/portfolio/housing/p28-07.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-07)"
"p28-08","Rumah","Pembinaan & Ubah Suai","p28-08.png","assets/portfolio/housing/p28-08.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-08)"
"p28-09","Rumah","Pembinaan & Ubah Suai","p28-09.png","assets/portfolio/housing/p28-09.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-09)"
"p28-10","Rumah","Pembinaan & Ubah Suai","p28-10.png","assets/portfolio/housing/p28-10.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-10)"
"p28-11","Rumah","Pembinaan & Ubah Suai","p28-11.png","assets/portfolio/housing/p28-11.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-11)"
"p28-12","Rumah","Pembinaan & Ubah Suai","p28-12.png","assets/portfolio/housing/p28-12.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-12)"
"p28-13","Rumah","Pembinaan & Ubah Suai","p28-13.png","assets/portfolio/housing/p28-13.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-13)"
"p28-14","Rumah","Pembinaan & Ubah Suai","p28-14.png","assets/portfolio/housing/p28-14.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-14)"
"p28-15","Rumah","Pembinaan & Ubah Suai","p28-15.png","assets/portfolio/housing/p28-15.png","Dokumentasi projek Pembinaan & Ubah Suai (p28-15)"
"p29-01","Slab Gas","Perlindungan Slab Gas","p29-01.png","assets/portfolio/gas-slab-protection/p29-01.png","Dokumentasi projek Perlindungan Slab Gas (p29-01)"
"p29-02","Slab Gas","Perlindungan Slab Gas","p29-02.png","assets/portfolio/gas-slab-protection/p29-02.png","Dokumentasi projek Perlindungan Slab Gas (p29-02)"
"p29-03","Slab Gas","Perlindungan Slab Gas","p29-03.png","assets/portfolio/gas-slab-protection/p29-03.png","Dokumentasi projek Perlindungan Slab Gas (p29-03)"
"p29-04","Slab Gas","Perlindungan Slab Gas","p29-04.png","assets/portfolio/gas-slab-protection/p29-04.png","Dokumentasi projek Perlindungan Slab Gas (p29-04)"
"p29-05","Slab Gas","Perlindungan Slab Gas","p29-05.png","assets/portfolio/gas-slab-protection/p29-05.png","Dokumentasi projek Perlindungan Slab Gas (p29-05)"
"p29-06","Slab Gas","Perlindungan Slab Gas","p29-06.png","assets/portfolio/gas-slab-protection/p29-06.png","Dokumentasi projek Perlindungan Slab Gas (p29-06)"
"p30-01","Jambatan","Jambatan & Kerja Awam","p30-01.png","assets/portfolio/bridges/p30-01.png","Dokumentasi projek Jambatan & Kerja Awam (p30-01)"
"p30-02","Jambatan","Jambatan & Kerja Awam","p30-02.png","assets/portfolio/bridges/p30-02.png","Dokumentasi projek Jambatan & Kerja Awam (p30-02)"
"p30-03","Jambatan","Jambatan & Kerja Awam","p30-03.png","assets/portfolio/bridges/p30-03.png","Dokumentasi projek Jambatan & Kerja Awam (p30-03)"
"p30-04","Jambatan","Jambatan & Kerja Awam","p30-04.png","assets/portfolio/bridges/p30-04.png","Dokumentasi projek Jambatan & Kerja Awam (p30-04)"
"p30-05","Jambatan","Jambatan & Kerja Awam","p30-05.png","assets/portfolio/bridges/p30-05.png","Dokumentasi projek Jambatan & Kerja Awam (p30-05)"
"p30-06","Jambatan","Jambatan & Kerja Awam","p30-06.png","assets/portfolio/bridges/p30-06.png","Dokumentasi projek Jambatan & Kerja Awam (p30-06)"
"p30-07","Jambatan","Jambatan & Kerja Awam","p30-07.png","assets/portfolio/bridges/p30-07.png","Dokumentasi projek Jambatan & Kerja Awam (p30-07)"
"p30-08","Jambatan","Jambatan & Kerja Awam","p30-08.png","assets/portfolio/bridges/p30-08.png","Dokumentasi projek Jambatan & Kerja Awam (p30-08)"
"p30-09","Jambatan","Jambatan & Kerja Awam","p30-09.png","assets/portfolio/bridges/p30-09.png","Dokumentasi projek Jambatan & Kerja Awam (p30-09)"
"p30-10","Jambatan","Jambatan & Kerja Awam","p30-10.png","assets/portfolio/bridges/p30-10.png","Dokumentasi projek Jambatan & Kerja Awam (p30-10)"
"p30-11","Jambatan","Jambatan & Kerja Awam","p30-11.png","assets/portfolio/bridges/p30-11.png","Dokumentasi projek Jambatan & Kerja Awam (p30-11)"
"p30-12","Jambatan","Jambatan & Kerja Awam","p30-12.png","assets/portfolio/bridges/p30-12.png","Dokumentasi projek Jambatan & Kerja Awam (p30-12)"
"p31-01","Pam/Blower/STP","Pam, Air Blower & Loji STP","p31-01.png","assets/portfolio/pumps-blowers-stp/p31-01.png","Dokumentasi projek Pam, Air Blower & Loji STP (p31-01)"
"p31-02","Pam/Blower/STP","Pam, Air Blower & Loji STP","p31-02.png","assets/portfolio/pumps-blowers-stp/p31-02.png","Dokumentasi projek Pam, Air Blower & Loji STP (p31-02)"
"p31-03","Pam/Blower/STP","Pam, Air Blower & Loji STP","p31-03.png","assets/portfolio/pumps-blowers-stp/p31-03.png","Dokumentasi projek Pam, Air Blower & Loji STP (p31-03)"
"p31-04","Pam/Blower/STP","Pam, Air Blower & Loji STP","p31-04.png","assets/portfolio/pumps-blowers-stp/p31-04.png","Dokumentasi projek Pam, Air Blower & Loji STP (p31-04)"
